owner.objectId,cetliId.objectId,objectId,product,quantity,createdAt,updatedAt,selected,deleted,crossedOutLocation.latitude,crossedOutLocation.longitude
uxJtky1gIC,uzvXVjjgB7,uTnYibb5wi,túró rudi,1,2016-05-03T16:39:21.116Z,2016-05-03T16:39:21.116Z,0,null,null,null
LPDpr77R5K,3eLrvkUwnT,BTXg5tIrVf,zeller,8,2016-04-09T14:19:40.722Z,2016-04-19T18:39:12.624Z,1,1,null,null
nlslMwDjE5,ARt36Dh1Oa,hXi0olUEAF,liszt,1,2016-07-30T08:57:19.444Z,2016-08-07T09:08:00.002Z,1,1,null,null
yRVqyPZkqQ,hW93qGPJug,e0uqMHmFtN,kolbász,1,2016-04-24T07:24:35.057Z,2016-04-24T07:24:35.057Z,0,null,null,null
p7QDcdslx2,Cd0wQF4nU6,JsEF8uADz7,alma,5,2016-05-02T07:10:43.549Z,2016-05-04T18:34:23.388Z,1,1,null,null
YpR91Ah9E2,4SJlALOiLK,YE48pAmp5L,tea,1,2016-04-06T20:11:05.151Z,2016-04-06T20:11:05.151Z,0,null,null,null
yPSUfOgjmv,uIp4pwoxuM,73QC0ajT3p,kenyér,1,2016-05-30T11:31:50.304Z,2016-05-30T11:31:50.304Z,0,null,null,null
wTWAFk66Eh,lsiPcwCTYs,hnByTGmFZz,szalvéta,1,2016-08-15T08:17:16.733Z,2016-08-19T12:45:43.374Z,0,1,null,null
O9NoTDy3el,DguZoFSn9U,dvgs0Ou4DX,üdítő,1,2016-06-01T13:58:04.056Z,2016-06-01T13:58:04.056Z,0,null,null,null
7SkoydY7RR,hS2NN7mIFg,CjfjbInMSP,tusfürdő,4,2016-04-04T15:29:09.879Z,2016-04-07T19:58:51.984Z,0,1,null,null
gF8xR1ROpF,4uRGkQSfKv,zIJXmuChmK,gyümölcs,1,2016-06-23T18:04:14.447Z,2016-07-12T09:40:39.512Z,0,1,null,null
yFkj4dKS0r,GUlY47AL5k,eouGz8uq9G,zsemle,1,2016-04-09T08:02:59.576Z,2016-04-09T08:02:59.576Z,0,null,null,null
Y2i96IeKKU,JL4STUWbdD,2Alw63MXzo,ásványvíz,1,2016-05-22T09:17:57.628Z,2016-05-22T09:17:57.628Z,0,null,null,null
n7AjHtJWf7,ucUnPZHmvX,Bl81pu6cQV,tejföl,1,2016-04-09T05:50:29.216Z,2016-04-09T05:50:29.216Z,0,null,null,null
bWEJDQstUA,Ptw7JRcCXD,Ad0v38syTU,barnacukor,1,2016-05-07T09:48:56.531Z,2016-05-07T09:48:56.531Z,0,null,null,null
Z7MldVzFnN,2JMRDx90HK,7vcQvaq377,öblítő,1,2016-07-30T11:23:52.565Z,2016-08-05T20:08:22.860Z,0,1,null,null
tRktsflWzq,1IyzdHayqC,x7st2IbnHa,darált hús,50,2016-04-01T16:31:41.865Z,2016-04-02T11:04:20.437Z,1,null,null,null
4AwkqlFbjh,Oilc4sIsSd,rXi8s8UvnI,fogkrém,1,2016-04-04T20:25:17.771Z,2016-04-04T20:25:17.771Z,0,null,null,null
boYCFnqBR3,whjjmVL1EZ,8ALz8OXpBs,málna,2,2016-07-02T06:14:04.040Z,2016-07-02T06:14:04.040Z,0,null,null,null
eEbuLkHpQG,tju9qVFO1n,57HYnNT89k,tej,1,2016-07-02T05:03:44.207Z,2016-07-12T20:12:07.513Z,0,1,null,null
ecV8GEfPky,w5KboDCk0e,WsXGWMeWZt,öblítő,1,2016-06-04T06:36:20.299Z,2016-06-04T06:36:20.299Z,0,null,null,null
QSeoCUcOLd,tCh4Oo2VVw,UjBjADO28M,kenyér,1,2016-06-01T05:57:22.811Z,2016-06-01T05:57:22.811Z,0,null,null,null
Rd15hIVVIQ,PtFJW3qiah,Et2CfRTSKA,tej,3,2016-04-06T17:47:31.145Z,2016-04-22T07:09:10.453Z,1,1,null,null
PRNFwFR9t3,ZTroyKdaex,X4lUDQAgY8,tea,2,2016-05-26T19:46:51.816Z,2016-06-03T14:47:06.665Z,1,null,null,null
Ivbha4fy0S,qXBEHksSFL,asKpqyHiRW,fokhagyma,1,2016-08-30T22:38:00.775Z,2016-08-31T05:38:08.780Z,1,null,null,null
MyEDI72HSV,U7eIrIH86O,yAeksSQWYf,felvágott,1,2016-04-06T13:51:03.761Z,2016-04-06T14:03:58.111Z,0,1,null,null
NvBmEn6csY,XMlE9P74IR,ghLYlAWVfi,tej,1,2016-05-12T04:34:39.120Z,2016-05-12T20:06:33.940Z,0,1,null,null
Rd15hIVVIQ,GzYKIzDo2m,Mwj02JtNPg,vajkrém,1,2016-05-01T06:40:14.930Z,2016-05-03T13:25:48.969Z,1,null,null,null
